device_id,device_type,os_name,browser_name,screen_resolution,is_emulator
DEV_0037,tablet,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0038,mobile,Android 14,Edge 122.0,1920x1080,false
DEV_0039,tablet,macOS Sonoma,Chrome 122.0,1920x1080,false
DEV_0040,desktop,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0041,mobile,Windows 11,Safari 17.2,1920x1080,false
DEV_0042,tablet,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0043,desktop,Windows 11,Safari 17.2,1920x1080,false
DEV_0044,desktop,Windows 11,Firefox 124.0,1920x1080,false
DEV_0045,desktop,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0046,tablet,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0047,tablet,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0048,desktop,macOS Sonoma,Edge 122.0,1920x1080,false
DEV_0049,desktop,Windows 11,Chrome 122.0,1920x1080,false
DEV_0050,tablet,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0051,mobile,macOS Sonoma,Edge 122.0,1920x1080,false
DEV_0052,tablet,Windows 11,Chrome 122.0,1920x1080,false
DEV_0053,desktop,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0054,desktop,iOS 17.4,Safari 17.2,1920x1080,false
DEV_0055,desktop,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0056,mobile,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0057,mobile,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0058,mobile,Windows 11,Chrome 122.0,1920x1080,false
DEV_0059,tablet,Windows 11,Chrome 122.0,1920x1080,false
DEV_0060,desktop,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0061,mobile,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0062,mobile,Windows 11,Safari 17.2,1920x1080,false
DEV_0063,mobile,Windows 11,Edge 122.0,1920x1080,false
DEV_0064,mobile,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0065,mobile,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0066,desktop,Android 14,Safari 17.2,1920x1080,false
DEV_0067,desktop,Windows 11,Firefox 124.0,1920x1080,false
DEV_0068,desktop,Windows 11,Edge 122.0,1920x1080,false
DEV_0069,tablet,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0070,tablet,Windows 11,Safari 17.2,1920x1080,false
DEV_0071,desktop,Windows 11,Safari 17.2,1920x1080,false
DEV_0072,mobile,Windows 11,Safari 17.2,1920x1080,false
DEV_0073,tablet,Windows 11,Chrome 122.0,1920x1080,false
DEV_0074,mobile,Android 14,Firefox 124.0,1920x1080,false
DEV_0075,desktop,Android 14,Safari 17.2,1920x1080,false
DEV_0076,mobile,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0077,tablet,Android 14,Edge 122.0,1920x1080,false
DEV_0078,mobile,Windows 11,Chrome 122.0,1920x1080,false
DEV_0079,mobile,Windows 11,Chrome 122.0,1920x1080,false
DEV_0080,tablet,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0081,desktop,Android 14,Chrome 122.0,1920x1080,false
DEV_0082,desktop,Android 14,Firefox 124.0,1920x1080,false
DEV_0083,desktop,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0084,tablet,Windows 11,Firefox 124.0,1920x1080,false
DEV_0085,tablet,Windows 11,Safari 17.2,1920x1080,false
DEV_0086,mobile,Windows 11,Chrome 122.0,1920x1080,false
DEV_0087,tablet,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0088,mobile,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0089,desktop,Android 14,Edge 122.0,1920x1080,false
DEV_0090,mobile,Windows 11,Chrome 122.0,1920x1080,false
DEV_0091,tablet,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0092,desktop,Windows 11,Firefox 124.0,1920x1080,false
DEV_0093,desktop,Android 14,Safari 17.2,1920x1080,false
DEV_0094,tablet,macOS Sonoma,Edge 122.0,1920x1080,false
DEV_0095,tablet,Windows 11,Chrome 122.0,1920x1080,false
DEV_0096,desktop,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0097,mobile,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0098,desktop,Windows 11,Firefox 124.0,1920x1080,false
DEV_0099,mobile,Windows 11,Firefox 124.0,1920x1080,false
DEV_0100,desktop,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0101,mobile,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0102,desktop,iOS 17.4,Safari 17.2,1920x1080,false
DEV_0103,mobile,Windows 11,Safari 17.2,1920x1080,false
DEV_0104,tablet,Android 14,Edge 122.0,1920x1080,false
DEV_0105,tablet,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0106,desktop,Windows 11,Edge 122.0,1920x1080,false
DEV_0107,desktop,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0108,desktop,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0109,mobile,iOS 17.4,Safari 17.2,1920x1080,false
DEV_0110,desktop,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0111,mobile,Android 14,Chrome 122.0,1920x1080,false
DEV_0112,mobile,Android 14,Edge 122.0,1920x1080,false
DEV_0113,tablet,Android 14,Chrome 122.0,1920x1080,false
DEV_0114,desktop,Android 14,Safari 17.2,1920x1080,false
DEV_0115,tablet,Android 14,Chrome 122.0,1920x1080,false
DEV_0116,desktop,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0117,tablet,Android 14,Edge 122.0,1920x1080,false
DEV_0118,tablet,Windows 11,Edge 122.0,1920x1080,false
DEV_0119,tablet,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0120,desktop,macOS Sonoma,Chrome 122.0,1920x1080,false
DEV_0121,tablet,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0122,mobile,Windows 11,Firefox 124.0,1920x1080,false
DEV_0123,tablet,Android 14,Chrome 122.0,1920x1080,false
DEV_0124,tablet,Android 14,Firefox 124.0,1920x1080,false
DEV_0125,tablet,macOS Sonoma,Firefox 124.0,1920x1080,false
DEV_0126,mobile,Android 14,Safari 17.2,1920x1080,false
DEV_0127,desktop,macOS Sonoma,Edge 122.0,1920x1080,false
DEV_0128,tablet,iOS 17.4,Firefox 124.0,1920x1080,false
DEV_0129,mobile,Windows 11,Firefox 124.0,1920x1080,false
DEV_0130,mobile,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0131,tablet,Android 14,Edge 122.0,1920x1080,false
DEV_0132,mobile,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0133,tablet,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0134,tablet,Windows 11,Firefox 124.0,1920x1080,false
DEV_0135,tablet,Android 14,Chrome 122.0,1920x1080,false
DEV_0136,desktop,Android 14,Safari 17.2,1920x1080,false
DEV_0137,desktop,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0138,desktop,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0139,tablet,Windows 11,Edge 122.0,1920x1080,false
DEV_0140,mobile,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0141,mobile,macOS Sonoma,Safari 17.2,1920x1080,false
DEV_0142,desktop,Windows 11,Chrome 122.0,1920x1080,false
DEV_0143,mobile,iOS 17.4,Safari 17.2,1920x1080,false
DEV_0144,tablet,macOS Sonoma,Chrome 122.0,1920x1080,false
DEV_0145,tablet,iOS 17.4,Chrome 122.0,1920x1080,false
DEV_0146,mobile,iOS 17.4,Edge 122.0,1920x1080,false
DEV_0147,tablet,Android 14,Edge 122.0,1920x1080,false
DEV_0148,tablet,macOS Sonoma,Edge 122.0,1920x1080,false
DEV_0149,desktop,macOS Sonoma,Edge 122.0,1920x1080,false
DEV_0150,mobile,iOS 17.4,Firefox 124.0,1920x1080,false
