case_id,trigger_type,risk_score,confidence,status,final_outcome,created_at,closed_at,trigger_txn_id,subject_customer_id,pattern_id,pattern_confidence
CASE-006,ANOMALY_TRIGGER,0.22,0.27,INVESTIGATING,PENDING_INVESTIGATION,1715021600,0,TXN_BENCH_006,CUST_0006,BENIGN_TRAVELER,0.22
CASE-007,ANOMALY_TRIGGER,0.35,0.4,INVESTIGATING,PENDING_INVESTIGATION,1715025200,0,TXN_BENCH_007,CUST_0007,SHARED_HOUSEHOLD,0.35
CASE-008,ANOMALY_TRIGGER,0.91,0.96,INVESTIGATING,PENDING_INVESTIGATION,1715028800,0,TXN_BENCH_008,CUST_0008,DEVICE_FARM,0.91
CASE-009,ANOMALY_TRIGGER,0.86,0.91,INVESTIGATING,PENDING_INVESTIGATION,1715032400,0,TXN_BENCH_009,CUST_0009,SYNTH_ID_SYNDICATE,0.86
CASE-010,ANOMALY_TRIGGER,0.82,0.87,INVESTIGATING,PENDING_INVESTIGATION,1715036000,0,TXN_BENCH_010,CUST_0010,CARD_TESTING,0.82
CASE-011,ANOMALY_TRIGGER,0.89,0.94,INVESTIGATING,PENDING_INVESTIGATION,1715039600,0,TXN_BENCH_011,CUST_0011,MULE_DISPERSAL,0.89
CASE-012,ANOMALY_TRIGGER,0.78,0.83,INVESTIGATING,PENDING_INVESTIGATION,1715043200,0,TXN_BENCH_012,CUST_0012,ATO_ADDRESS_LAUNDER,0.78
CASE-013,ANOMALY_TRIGGER,0.18,0.23,INVESTIGATING,PENDING_INVESTIGATION,1715046800,0,TXN_BENCH_013,CUST_0013,BENIGN_SPIKE,0.18
CASE-014,ANOMALY_TRIGGER,0.95,0.96,INVESTIGATING,PENDING_INVESTIGATION,1715050400,0,TXN_BENCH_014,CUST_0014,DEVICE_FARM,0.95
CASE-015,ANOMALY_TRIGGER,0.87,0.92,INVESTIGATING,PENDING_INVESTIGATION,1715054000,0,TXN_BENCH_015,CUST_0015,SYNTH_ID_SYNDICATE,0.87
CASE-016,ANOMALY_TRIGGER,0.93,0.96,INVESTIGATING,PENDING_INVESTIGATION,1715057600,0,TXN_BENCH_016,CUST_0016,ATO_ADDRESS_LAUNDER,0.93
CASE-017,ANOMALY_TRIGGER,0.9,0.95,INVESTIGATING,PENDING_INVESTIGATION,1715061200,0,TXN_BENCH_017,CUST_0017,MULE_DISPERSAL,0.9
CASE-018,ANOMALY_TRIGGER,0.84,0.89,INVESTIGATING,PENDING_INVESTIGATION,1715064800,0,TXN_BENCH_018,CUST_0018,CARD_TESTING,0.84
CASE-019,ANOMALY_TRIGGER,0.64,0.5,INVESTIGATING,PENDING_INVESTIGATION,1715068400,0,TXN_BENCH_019,CUST_0019,AMBIGUOUS_MERCHANT,0.64
CASE-020,ANOMALY_TRIGGER,0.98,0.96,INVESTIGATING,PENDING_INVESTIGATION,1715072000,0,TXN_BENCH_020,CUST_0020,MULTI_PATTERN_SYNDICATE,0.98
